0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151
-825178012.0,-11966142.861657614,-234729656.2364319,-982953057.5710175,-94880221128.84618,-43948952667.052475,-14928052.796511222,-86107.43625532139,-655725.3786011477,-3599663.7504512994,-100110.0203519514,3136.692883944328,-13052.247992316812,-116132.94157971242,-8792.69777022421,-5877.233093583394,-6364.32649056292,-13875063.326471526,-124200.30693847891,-190742.3009968228,9953.051503016375,-864393.8363459473,-824796.5310389112,-4208660.722379699,7989.816421226844,8256.01770858999,-266109.89681186486,12374.137810868895,9657.547729849299,-8805913.493915444,10339.544480015671,-1370493.4878906999,-4970.83826971519,-407329.4001049922,-9521218.843596684,10732.176993125999,-15555.342533761595,11822.290869245104,11722.109776220164,10932.468080493447,12797.529856469258,25878.2120528629,14975.607088077053,62910.281834610614,272736.61947018915,12072.185612127298,13510.915925304018,11959.72920359429,12738.08120322991,11759.042161044326,9146.940182521443,-933970.4923740278,11912.619630735802,8885.680805862741,12003.503047027598,134492.35231873897,11938.154707414864,11853.597797219501,11940.273641762164,12077.22136425016,36802.93902225041,11981.01312544336,11856.326502382537,11580.832508073398,-5595.52278484554,-131677.7786114245,11289.174224900451,-13785.580694662642,-118766.28989737103,-740101.5365192615,11016.297651595763,-2506385.026137893,11506.048156730332,9335.843118666682,-31039082495.752155,11910.455060612387,11820.866164120855,-1455462.063154032,10889.547065109784,11784.247045570886,11205.62839399162,206.82214085965825,11187.876797797562,7122.796601877804,-16313.670649151714,10377.251306196278,10791.336925731617,-104.85925479287653,-51949.65436200594,11943.13483467542,12372.230894492752,14133.59695361743,15562.233707115607,12487.254641122938,12395.715132922785,46003.938302387534,2828761.936950271,11947.065609838251,11946.061517860482,11941.050172227402,11915.961349112638,11813.21336130103,11299.364000628013,8763.648234492357,10886.136415294837,6701.918855785793,11898.726627335569,11806.652606065405,10478.689531521202,3944.902965198011,-28105.985042084398,11854.7591011075,11909.067168713862,10550.672399434095,11913.104403867777,11861.689423569209,11918.913075220475,11919.644414382456,11920.87859891752,11903.184983772393,11920.905391881814,11920.945994071324,11921.146063640419,11922.135897157219,11926.184800758887,11946.414946657917,12047.395681071426,12074.491517864237,12686.477592790505,15748.514408821287,11927.893031440883,11924.041511995156,11932.448426573057,11976.924979259034,11922.392420441109,11923.619840674026,11922.784341928193,11921.903442126606,11922.023131969378,11931.355875910429,11971.143212833667,11922.369979375486,11924.22532852522,11921.884837840016,11851.10740856989,11567.312682698022,10142.663470872087,11912.40423144317,11920.273068445787,11921.878197450456,11916.025025387484,11921.914538875513
-825178012.0,-11842736.646129671,-368671644.6922257,-2187521353.398909,-211517028060.9994,-100094747908.52885,-40227608.343136355,-1411262496.64119,-8584716428.121947,-46934729642.64637,-1729814721.666039,-23408626.276511613,-184216186.0472132,-1324267983.611922,-270478828.7517321,-388768934.2204157,-20629595.819495324,-16206609547.745832,-125208253.11483388,-304696579.33790195,2482363.382253259,1201216822.5010219,1357306652.6710384,6831126505.332539,-898412.7450603184,-587226.9910082213,-42952066.50158532,-717650.8381930937,-6946.744150389977,-72864875.79106252,11441.566121680444,437555.5059723345,21911.670871119313,323656.02010315,6681539.64494461,14196.138272272769,57061.962360429985,13087.596534052447,21443.236658376612,74030.27955840221,18545.394182912307,152886.99297578086,29925.310240504652,356750.6299908775,1779192.090204578,12916.07482672747,22614.248873634846,12123.197817735856,15706.665669953003,11392.168936392756,9943.865439850199,-805143.1141293818,11783.91612886896,15909.158638908615,12286.370997032816,706011.6580980412,12352.91330005601,16396.894648450223,11805.015868589358,10473.088819217133,-243174.70024279883,11406.722139044146,11803.123355764836,11243.607176000289,-18989.741587360553,-243158.60836988682,10732.540802778614,-33433.7688271722,-219957.28490335608,-1323839.5934642286,10441.817665383182,-4012558.0988812447,11637.919865863218,10331.58681007257,-18821183334.444996,11826.610405910602,11493.238045352495,-5376482.023731429,8188.923868762386,11510.690755563164,10076.394161858838,-18200.26815832939,9989.202097614345,-89.10125215580047,-59288.825915530746,8050.550099237122,9157.280299282389,-20216.85723457855,-161106.51107780088,11883.772030268934,11988.147324272637,12333.999093353397,12389.216963321827,12180.819662186526,12596.94676948874,55146.2916528321,3586640.841164309,11921.206880779093,11920.30714766742,11915.73922093968,11892.934964554499,11798.43333514798,11327.448580478294,9017.62919743236,10950.929369496649,7113.439844343122,11882.930073737618,11823.638538984269,10960.900608723352,6688.006031909253,-14247.290495057388,11821.134117738118,11888.411352787594,10896.908199466352,11894.349193229253,11874.434882582691,11897.054725697222,11896.465990130957,11897.38979927689,11938.774470216882,11897.515279089172,11898.341011264216,11902.465752123588,11922.939611727052,12006.643217364242,12425.39807209681,14475.347394995813,15036.7184899394,27538.77228730656,90164.74025709578,12013.036941415528,11952.908773011855,12098.379980879266,12831.179203914893,11941.828438300832,12089.010551432606,11921.316702929702,11918.924843657633,11919.26969949502,11990.823043056675,12291.859926322977,11922.565497978534,11945.662805251077,11918.663025152742,12228.32768268819,13471.409445882784,19710.850303737196,11956.401860828291,11922.980466825134,11918.542054928335,11922.936398467747,11918.503212097707
-825178012.0,-11842736.646129675,-230867800.19572574,-1317685680.2668254,-126666817860.38457,-62722229656.46315,-83493782.49181522,-2830566334.247165,-17103246552.46203,-93303951795.28122,-3417182218.9233985,-46634117.02361191,-326914873.5248306,-2361367304.3198133,-416620889.2765486,-379887315.68786484,-14220108.697079448,-10712916601.657188,-113902183.96925586,-209981323.75589633,-1709949.7211072252,-905947144.7330954,-1000516438.0834603,-5027248347.70673,-447441.8166549839,-201970.96067534937,-18919794.639471944,-151589.67045760853,-2984.4910164404937,-57243102.839644104,13553.66730592139,823474.6634208667,13372.182411774656,68883.24746976484,1449481.672954943,11730.883808598872,12502.799978142928,10880.481464238019,5468.384851905285,-30153.962593567077,7707.3197255623145,-79869.40942815809,49.45018074927248,-204214.65352573275,-1094344.333269049,10743.213104673876,-181.05521345681518,11139.306597223753,-2563.9243168848607,9728.436512485187,-36196.015615626595,-16546726.332333231,10606.648654539882,-85269.02611977476,11573.414292802772,-338680.91039239964,11593.048721487048,9966.928644460497,11798.073700695857,12132.219498799812,73685.13504940383,11715.10300599278,11689.241653727095,11465.080614601715,-3479.5166133821895,-113166.55314828065,11322.010557499338,-8514.648477554252,-91753.21696532608,-578815.3186688808,10621.651422168026,-3141359.6592832133,11194.659139860147,7965.726572930126,-45362929386.32784,11536.983575012908,10605.91851178619,-15055284.590317426,1426.7019866206701,10671.282397842298,6342.151897538403,-76918.00829667391,6672.357342215345,-26437.675364825103,-211928.38773060226,-649.2422530974982,2749.5341898013885,-85814.77507740258,-514126.59339761024,11710.517665987525,11420.32591064816,10110.68269879161,10005.480834610926,12893.425584077479,12980.060079446363,85023.04054293242,6066083.906461254,11782.287527921962,11782.390443771352,11782.788997771457,11784.970594532006,11792.4065787878,11832.125886486554,12042.440494070843,11863.303223176927,12173.228436810185,11790.888836794007,11820.926926365139,12211.526139918835,14025.378454866195,23012.48906160741,11805.13465862467,11801.59743775468,13944.207143920536,11785.167679954066,11794.011516871828,11782.731182105077,11784.319121229086,11784.437737051034,11796.910123627684,11784.597966455432,11785.568271563923,11790.407653586966,11814.443497140319,11912.77074601354,12404.590572643589,14812.081605892377,15471.656804100756,30158.053217705732,103718.02467283119,11919.673569986386,11850.182659747488,12021.455051032699,12884.121621264683,11835.95975430538,12008.806551945918,11811.915123641598,11809.53638709692,11809.541216072334,11829.02287073702,11910.808012939735,11811.461105610117,11824.146376891556,11809.507103264958,12289.942945619554,14219.926035682609,23903.825984702773,11867.653751929818,11814.475545879517,11809.294337132942,11815.554158513778,11809.29183553013
-823080860.0,-11718740.470554108,-364800188.7815184,-2166572216.287602,-209494133785.796,-99126837196.48795,-39740452.99640956,-1394925828.676223,-8485985011.940655,-45978105471.07065,-1699198424.2372704,-22698642.309580896,-176334559.73796588,-1271784478.5136936,-258932922.92687276,-376322783.9529284,-19141096.046079982,-13744140773.00512,-139805693.04458797,-146297517.71512112,-2659235.932998375,-1339877657.4133406,-1619768111.282904,-8147380425.267238,1204949.5676991218,-214377.0715065865,-13305995.43103565,-311893.25040071143,-11093.118993914324,-89138051.67308281,13469.108028201446,1323061.2891187582,1774.8408781064536,-254461.35642739944,-5901023.149821947,9655.505560039606,-30470.363165341092,11594.445130670614,8814.264986601282,-12741.411752396263,7141.761690863433,-92724.08398875289,-3655.2302405122446,-255147.79270079904,-1352100.2095217046,9925.013881716868,-12101.814979041683,11108.935005326795,-12026.472851643975,7222.394227049543,-89422.89988375928,-35056981.93120602,9696.437602775351,-148592.3691575212,11844.492104604888,-93587.14508559191,11729.983409745699,10230.6903202122,11871.579125266708,11454.785644210006,-65188.03443773351,11835.627244231415,11794.330162248447,11623.335215206633,-3902.9316433254207,-115099.47591251561,11199.897532275008,-14117.61055057617,-120831.82278215425,-752196.9700839774,10854.897426771196,-2844106.9973085783,11294.852419701761,8162.679685308431,-44541319772.288124,11835.014139607743,11625.604825448314,-3436918.220264049,9474.60424922814,11987.545555297855,12390.077224481065,20307.76100224339,12342.383668467024,15779.765379325177,34655.224615239524,13184.356769816288,12790.415285802017,21388.77605637195,63890.25770109184,11914.007806852518,12420.527427991598,14548.22798086823,14717.597931658293,11991.637500666044,11882.003915155941,14588.862578836051,235864.7219097117,11890.07320330865,11890.349634825106,11891.789411446223,11898.924765697233,11928.902272013756,12077.63712959342,12802.690757587758,12196.62486300612,13411.849099919524,11900.29214363987,11910.512685641052,12091.191561307427,12997.331070282426,17423.446460072944,11917.156055535788,11895.272932844906,11586.067322657304,11898.273346792525,11902.530697507045,11898.55290096714,11897.97787822531,11897.561409979768,11889.646174095882,11897.454215934384,11896.854339975078,11893.8559507757,11878.983122437581,11818.168804600446,11513.963795931906,10024.33318180826,9616.321888540417,531.1740703129963,-44973.44392873771,11812.953096566778,11856.063727533037,11748.463027683627,11205.92826030417,11861.71070212674,11737.479658423614,11879.498532949618,11881.441515161821,11881.45060761967,11814.471651356167,11535.789542440707,11875.949443254653,11839.851110810798,11882.092116556627,11678.223670748823,10859.540595513174,6752.070626027558,11855.563999064527,11879.529611610324,11882.16198502348,11877.576862148273,11882.189297385046
-783234972.0,-9362813.134618426,-291242526.4780718,-1413552099.5141296,-133369255725.74007,-64348429467.129906,-43599216.81362543,-1544104446.09958,-9359607089.88763,-51206113346.836205,-1842086124.624015,-4174606.3826368297,-20128637.318252966,-32305466.26487514,-22325703.50175576,-67592981.57311535,-13397476.416065922,-10457244678.21553,-157995809.4256663,-211072148.24725887,-6490598.973553427,-2801931538.185308,-3261978909.399055,-16414329725.056208,-2197369.9956326224,521796.70931474323,44336408.49890908,420313.0160645084,43647.022585887265,115301751.55612767,14150.01733377494,976400.5746672669,17533.428614138895,79511.07638191282,1497706.4807743581,14772.222061651299,31656.20233509884,14201.748234129935,15568.68505710076,26254.085738915674,14948.214384041814,44716.35231983777,17255.15505226001,73768.06902768598,318671.8330627093,14282.829045144343,19811.482129819055,14307.177350691705,25357.702505182628,16259.487472325538,63392.88481817476,17092657.169242468,15358.169455778969,122026.4088683246,14175.95213513379,560877.9093156066,14277.537421540826,17918.34344360364,13923.160527286973,14696.846345427826,154468.49848901315,14628.421831526404,14203.86262807116,14897.234245471254,67093.30547551566,451316.1429065066,15708.280881341803,85409.94512193179,379506.08800667914,2115976.0965140807,16688.67492533772,7704687.56546396,14976.62320676363,20883.935459219163,83563902892.0083,13961.054501109125,14254.110819094098,4752140.914442079,17054.221635242313,13844.924445901892,13641.53016279766,10083.28473915697,13611.990456841544,12589.287574792472,6249.7091652678655,13479.142502672794,13518.001710365912,9869.178195324603,-6690.621363227296,13868.180004417063,13750.067506933568,13177.463579615456,11108.654041522359,12941.401093883473,12685.790360534533,-63207.42717280094,-6358893.348963807,13857.114188129714,13857.414097650322,13858.975358236296,13866.713817844378,13899.162588894993,14060.263447506659,14846.453157020358,14189.139788674827,15505.279887601837,13868.586442414125,13881.321581616237,14094.259768148428,15165.586161203208,20396.172000699327,13887.16422108408,13863.024698373687,13562.780734397515,13866.631473928464,13875.728342874427,13866.340964792485,13865.647130453035,13865.312050759701,13921.089932303521,13865.378292074713,13866.039660162161,13869.34502443655,13885.746821356535,13952.804766748337,14288.262403972249,15931.844063017445,16381.578153369737,26402.917298119595,76596.8287820017,13959.762557146234,13910.46884505163,14029.321583078583,14628.582554315537,13901.613001843472,14020.58917222739,13885.276988087471,13882.695901846773,13883.0135983951,13960.967628152082,14289.927996347576,13886.436477197973,13909.591550094345,13882.350050538775,14173.658505688309,15343.533829885007,21214.373901407285,13916.541370460935,13884.783573220488,13882.268809428659,13890.479167067757,13882.222608505352
-744437660.0,-7068883.886470487,-219620592.12997875,-1025993062.9549937,-99894179600.58768,-47915452510.82537,-13739895.937394174,-579922405.9633589,-3589455905.30013,-19651454611.044804,-691171526.5177723,-42325105.4310415,-245369076.23419338,-1587533233.6524084,-479894240.4788544,-511948322.07649475,14789.804596788299,-764568.9918176767,8385.613931703323,4797.144293961506,15725.70607533208,-19435.080077320396,-20720.083139119837,-170282.5780152451,15879.975748480701,15888.591686408146,21161.34539516906,15843.749516156533,15892.9639727659,331486.3602700203,15650.074195537705,-123292.74937443434,14852.660513941435,-5444.745128433018,-445628.7618975028,15117.949627950546,3578.0930731291337,15612.655991374633,14654.191640438898,7163.254529798822,14610.611590764138,-13206.339593805847,11516.461697704111,-58320.6543035763,-361972.19172656187,15605.923228508682,12524.134573735777,15460.074965059322,7484.055144228829,14070.540732483452,-20180.24922501359,-12416953.014501762,14674.5656249511,-67650.17397387137,15613.348754355888,-322838.6136455,15591.717795933164,13701.019346012601,15723.688299181376,14637.151915827479,-187443.95079620526,14853.347232966105,15623.898069319037,15324.567523460633,-9658.552207450772,-195065.3677968505,14993.445346600947,-13406.63256283797,-135298.28618195278,-852746.6473381845,14476.422797302246,-3598900.7286320264,15349.654503364412,12999.758485895967,-33384903864.710453,15658.621060498599,15105.306949949343,-8954991.535150208,9635.364841457023,14972.785524223618,11733.083760091966,-50640.5379964401,11825.556848082848,-12394.522861709393,-149777.95608429858,6713.843831516555,9177.734569266311,-56670.92742613824,-375077.16886656097,15760.923913846733,15141.57251633065,12570.391492443248,10220.913309501411,15102.347003349021,15779.382069732152,15512.960727949046,-7335.560905619721,15782.751810908881,15781.023815796425,15772.340048164744,15728.92999700955,15549.984543503218,14657.026656290669,10261.345569114601,13939.054030303469,6667.640998351033,15703.591075183047,15563.359307671772,13414.421429153446,2871.549388971438,-48826.882629728374,15612.980994376869,15717.268007809478,13454.939604171548,15723.710554982847,15640.147622236162,15730.431606937416,15734.252341187457,15737.354721314663,15705.091212162755,15737.508229524816,15738.173081946505,15741.493402131548,15757.9636090584,15825.333286819305,16162.326689332158,17811.73247402981,18263.733620756004,28322.991974566554,78716.77274063318,15829.81216167233,15782.11520676801,15898.702159482453,16486.045250400814,15774.720554617166,15902.836379121854,15756.482367346256,15754.816122564838,15755.283623520252,15830.068330417465,16144.135533191393,15759.49157991224,15788.718850717562,15754.435766010623,15834.563468334514,16156.04728765148,17768.39464077815,15767.376907873062,15755.703340443686,15754.419310531197,15756.776467625816,15754.385450499101
-705640348.0,-4651548.422794623,-281940646.2376794,-1488015810.56506,-145366023576.3925,-71240166595.48186,-22294846.012803033,-626189647.2280079,-3820162487.23739,-20937816167.158436,-370322563.4317684,-20498826.464620005,-127015962.6512295,-968587401.0183482,-112365772.31520088,-169695318.26554644,2837532.038422904,2166004809.4326324,10752356.874927435,39503476.201425605,-283429.7914771065,-25714811.324354682,11031462.284306401,64319657.96738192,-527901.1916064142,-311710.40904392843,-30471792.385767777,-230029.20615696383,16533.75303661262,-4364801.67657214,12633.635524066656,-4351370.555462,3232.1761298444762,-364231.8777454467,-8655145.612207234,16662.048543563204,-3593.6245330211896,17645.761307562792,17726.912952521736,18976.986193570367,18222.85192326539,29259.16377787882,19155.1140532129,43783.84844722449,151563.4376517046,17972.103709547053,21246.548881217917,17584.82765251128,17478.099561178038,17657.784342910585,18036.632905781946,138098.11250498434,17592.303736273563,14148.720914988093,17703.186066020146,126683.76967746668,17822.296836387046,19497.532515014755,17631.233232253275,17296.99189737534,-45207.33834353727,17425.920100517633,17638.961737518555,17609.868315045354,16337.090224310543,5377.25279755675,17483.717878734984,11175.22237937196,-15623.007378623817,-173490.02183990524,17371.31580602007,-728568.8828237326,17679.99470484667,17825.54928406445,2121822309.5511432,17664.149040349355,17731.821852611927,1110268.1045893785,18387.697854629427,17792.87662936132,18345.45378376585,29138.790146235897,18367.83131848749,22365.48784078985,45500.05979450378,19181.148239913888,18743.313582307685,30099.2158689961,83985.97742047501,17656.353291719595,17685.626094487125,17830.917596573992,17708.503971387367,17573.868425556735,17426.89933192229,3185.251034052744,-1178177.0180873002,17643.57282002866,17644.759356511575,17650.69086463336,17680.3871450138,17802.307326155635,18411.54115486823,21414.78321653024,18901.213434186226,23861.38577166344,17699.868897822817,17804.40294949381,19347.80112486412,26918.907758455694,64071.58113904874,17755.42345590332,17687.47765252626,19177.91167545386,17681.889410860924,17728.168511219497,17677.23263056025,17675.957765580322,17674.550978004023,17660.883869010922,17674.464805433272,17673.93035372483,17671.265807792242,17658.03300604116,17603.91065171416,17333.18675704876,16006.898785858328,15643.974483904503,7556.359085950871,-32951.9758423982,17599.185742012814,17638.391421160144,17543.662023041317,17064.930895105088,17647.32655954875,17559.937775772363,17659.000554251124,17660.92361888492,17660.76582148598,17649.066177997895,17599.151764478087,17660.458745973676,17658.622024645196,17660.8153591019,17507.50382831614,16891.51237879186,13800.809076451056,17642.674596884357,17659.197948558558,17660.881652593278,17659.325827617617,17660.877652501236
